YIL,DÖNEM,BASVURU_TIPI,UYRUK,CINSIYET,PUAN,BASARI_DURUMU,KESIN_KAYIT_DURUMU
2012,Güz,Uluslararası Öğrenci,İRAN,Kadın,15.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Kadın,5.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,AZERBAYCAN,Erkek,1430.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,220.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Kadın,76.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,58.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,72.9,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,YUNANİSTAN,Kadın,60.23,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,İNGİLTERE / BİRLEŞİK KRALLIK,Erkek,360.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,ALMANYA,Kadın,2.5,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,786.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,AZERBAYCAN,Kadın,1130.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.83,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,97.2,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,73.7,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,UKRAYNA,Kadın,137.5,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,86.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,188.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.75,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,İRAN,Kadın,16.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,İRAN,Erkek,17.29,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TACİKİSTAN,Erkek,4.78,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.95,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.95,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.99,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,AZERBAYCAN,Erkek,427.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
