BASVURU_ID,YIL,DÖNEM,BASVURU_TIPI,UYRUK,CINSIYET,PUAN,BASARI_DURUMU,KESIN_KAYIT_DURUMU
9,2012,Güz,Uluslararası Öğrenci,İRAN,Kadın,15.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
12,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Kadın,5.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
16,2012,Güz,Uluslararası Öğrenci,AZERBAYCAN,Erkek,1430.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
20,2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,220.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
26,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Kadın,76.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
28,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,58.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
37,2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,72.9,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
40,2012,Güz,Uluslararası Öğrenci,YUNANİSTAN,Kadın,60.23,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
46,2012,Güz,Uluslararası Öğrenci,İNGİLTERE / BİRLEŞİK KRALLIK,Erkek,360.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
49,2012,Güz,Uluslararası Öğrenci,ALMANYA,Kadın,2.5,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
51,2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,786.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
58,2012,Güz,Uluslararası Öğrenci,AZERBAYCAN,Kadın,1130.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
70,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.83,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
72,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,97.2,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
78,2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,73.7,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
82,2012,Güz,Uluslararası Öğrenci,UKRAYNA,Kadın,137.5,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
88,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,86.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
91,2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,188.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
94,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.75,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
100,2012,Güz,Uluslararası Öğrenci,İRAN,Kadın,16.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
110,2012,Güz,Uluslararası Öğrenci,İRAN,Erkek,17.29,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
124,2012,Güz,Uluslararası Öğrenci,TACİKİSTAN,Erkek,4.78,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
127,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.95,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
130,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.95,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
131,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.99,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
134,2012,Güz,Uluslararası Öğrenci,AZERBAYCAN,Erkek,427.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
137,2012,Güz,Uluslararası Öğrenci,TACİKİSTAN,Erkek,4.84,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
143,2012,Güz,Uluslararası Öğrenci,TACİKİSTAN,Erkek,4.5,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
145,2012,Güz,Uluslararası Öğrenci,TACİKİSTAN,Erkek,4.73,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
149,2012,Güz,Uluslararası Öğrenci,TACİKİSTAN,Erkek,4.87,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
151,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,5.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
155,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,59.68,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
156,2012,Güz,Uluslararası Öğrenci,İRAN,Erkek,18.21,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
159,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.2,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
162,2012,Güz,Uluslararası Öğrenci,TACİKİSTAN,Erkek,4.63,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
166,2012,Güz,Uluslararası Öğrenci,TACİKİSTAN,Erkek,4.78,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
167,2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,182.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
173,2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,84.1,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
174,2012,Güz,Uluslararası Öğrenci,TACİKİSTAN,Erkek,4.94,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
181,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,100.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
186,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Kadın,4.85,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
190,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,100.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
195,2012,Güz,Uluslararası Öğrenci,ARNAVUTLUK,Kadın,1620.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
199,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,5.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
201,2012,Güz,Uluslararası Öğrenci,ÖZBEKİSTAN,Erkek,89.2,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
208,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.9,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
209,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,5.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
212,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,5.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
